time_stamp,entity,new_status
1624095600.0,window,on
1624110584.581405,window,off
1624124733.997219,window,on
1624095600.0,hue.motionSensor.motion,unavailable
1624095600.0,door,off
1624101559.933266,door,on
1624101601.356286,door,off
1624101899.828904,door,on
1624102047.532352,door,off
1624102097.321541,door,on
1624102132.397825,door,off
1624108575.272162,door,on
1624108577.233055,door,off
1624110252.62548,door,on
1624110261.043722,door,off
1624139612.740322,door,on
1624139626.428985,door,off
1624095600.0,ceilingLamp,unavailable
1624095600.0,deskLamp,unavailable
1624095600.0,hueWhiteLamp3,unavailable
1624095600.0,radiatorThermostat.measuredTemperature,28.4
1624100399.986193,radiatorThermostat.measuredTemperature,28.2
1624104880.285269,radiatorThermostat.measuredTemperature,28.1
1624123995.818655,radiatorThermostat.measuredTemperature,28.2
1624124917.811397,radiatorThermostat.measuredTemperature,28.4
1624131296.891292,radiatorThermostat.measuredTemperature,28.5
1624137641.477353,radiatorThermostat.measuredTemperature,28.6
1624139755.498696,radiatorThermostat.measuredTemperature,28.7
1624146142.837954,radiatorThermostat.measuredTemperature,28.8
1624152584.914645,radiatorThermostat.measuredTemperature,28.9
1624171701.94262,radiatorThermostat.measuredTemperature,28.8
1624095600.0,hue.lightLevel,unavailable
1624095600.0,hue.temperature,unavailable
1624095600.0,sun,above_horizon
1624131651.01715,sun,below_horizon
1624159009.01542,sun,above_horizon
1624095600.0,weather.homeLocation,partlycloudy
1624111879.604891,weather.homeLocation,cloudy
1624115179.529656,weather.homeLocation,partlycloudy
1624125079.495904,weather.homeLocation,cloudy
1624128379.519834,weather.homeLocation,partlycloudy
1624138279.533012,weather.homeLocation,rainy
1624141579.518277,weather.homeLocation,cloudy
1624148179.504873,weather.homeLocation,partlycloudy
1624151479.520024,weather.homeLocation,rainy
1624154779.633911,weather.homeLocation,partlycloudy
1624158079.508496,weather.homeLocation,cloudy
1624164679.971778,weather.homeLocation,partlycloudy
1624177879.524,weather.homeLocation,cloudy
1624181179.494461,weather.homeLocation,partlycloudy
1624095600.0,weather.town,partlycloudy
1624098488.323812,weather.town,sunny
1624123082.852642,weather.town,partlycloudy
1624127344.010886,weather.town,sunny
1624133723.076214,weather.town,cloudy
1624138035.47053,weather.town,sunny
1624148768.630865,weather.town,partlycloudy
1624151944.82299,weather.town,rainy
1624155140.162685,weather.town,sunny
1624162700.816693,weather.town,partlycloudy
1624170196.975738,weather.town,cloudy
1624173440.676118,weather.town,partlycloudy
