time_stamp,entity,new_status
1642298400.0,automation.dinnerLights,on
1642298400.0,automation.dinnerTableLights,on
1642298400.0,automation.gamingMode,on
1642298400.0,automation.heatingBoostOff,on
1642298400.0,automation.allLightsOff,on
1642298400.0,automation.allLightsOn,on
1642298400.0,automation.studioLightOnWhenMotion,on
1642298400.0,automation.pianoLight,on
1642298400.0,automation.sofaLamp,on
1642298400.0,automation.studioLightOff,on
1642298400.0,automation.lightsOffWhenNoMotion,on
1642298400.0,door,off
1642299828.581592,door,unavailable
1642299834.961031,door,off
1642299902.589062,door,unavailable
1642299919.011156,door,off
1642329589.073084,door,on
1642329595.187021,door,off
1642334258.611116,door,on
1642334281.450498,door,off
1642334459.775733,door,on
1642334491.955296,door,off
1642334641.529927,door,on
1642334647.392175,door,off
1642334719.184728,door,on
1642334748.642845,door,off
1642334864.276008,door,on
1642334887.413741,door,off
1642351633.67355,door,on
1642351670.749706,door,off
1642351724.049143,door,on
1642351730.484918,door,off
1642351953.953016,door,on
1642351954.771388,door,off
1642351955.253496,door,on
1642351965.65623,door,off
1642353771.949335,door,on
1642353791.188866,door,off
1642353865.426894,door,on
1642353899.740571,door,off
1642353900.719889,door,on
1642353903.521554,door,off
1642353908.874464,door,on
1642353910.608012,door,off
1642364282.786995,door,on
1642364288.096443,door,off
1642377049.994461,door,on
1642377072.837268,door,off
1642377073.296503,door,on
1642377073.568354,door,off
1642298400.0,hue.motionSensor.motion,off
1642327857.19622,hue.motionSensor.motion,on
1642327867.166707,hue.motionSensor.motion,off
1642327874.045055,hue.motionSensor.motion,on
1642327883.905173,hue.motionSensor.motion,off
1642327891.841809,hue.motionSensor.motion,on
1642327931.659896,hue.motionSensor.motion,off
1642327935.635189,hue.motionSensor.motion,on
1642327953.528588,hue.motionSensor.motion,off
1642328005.467052,hue.motionSensor.motion,on
1642328015.445796,hue.motionSensor.motion,off
1642328023.83692,hue.motionSensor.motion,on
1642328046.071896,hue.motionSensor.motion,off
1642331231.816238,hue.motionSensor.motion,on
1642331241.719773,hue.motionSensor.motion,off
1642331329.815098,hue.motionSensor.motion,on
1642331339.650342,hue.motionSensor.motion,off
1642334055.032725,hue.motionSensor.motion,on
1642334088.355724,hue.motionSensor.motion,off
1642334090.7434,hue.motionSensor.motion,on
1642334117.83039,hue.motionSensor.motion,off
1642334924.895884,hue.motionSensor.motion,on
1642334934.858666,hue.motionSensor.motion,off
1642334953.215609,hue.motionSensor.motion,on
1642334963.195576,hue.motionSensor.motion,off
1642335584.371618,hue.motionSensor.motion,on
1642335602.405254,hue.motionSensor.motion,off
1642335603.411268,hue.motionSensor.motion,on
1642335616.91384,hue.motionSensor.motion,off
1642335620.669451,hue.motionSensor.motion,on
1642335634.557133,hue.motionSensor.motion,off
1642335657.03477,hue.motionSensor.motion,on
1642335676.355207,hue.motionSensor.motion,off
1642335844.672839,hue.motionSensor.motion,on
1642335863.27887,hue.motionSensor.motion,off
1642336510.296432,hue.motionSensor.motion,on
1642336520.256913,hue.motionSensor.motion,off
1642337353.934902,hue.motionSensor.motion,on
1642337377.228061,hue.motionSensor.motion,off
1642337382.609417,hue.motionSensor.motion,on
1642337396.501276,hue.motionSensor.motion,off
1642337490.355246,hue.motionSensor.motion,on
1642337504.3116,hue.motionSensor.motion,off
1642337510.496171,hue.motionSensor.motion,on
1642337530.973545,hue.motionSensor.motion,off
1642337821.754658,hue.motionSensor.motion,on
1642337839.717166,hue.motionSensor.motion,off
1642338019.144805,hue.motionSensor.motion,on
1642338041.65516,hue.motionSensor.motion,off
1642339609.994974,hue.motionSensor.motion,on
1642339669.099361,hue.motionSensor.motion,off
1642339676.416277,hue.motionSensor.motion,on
1642339694.91635,hue.motionSensor.motion,off
1642340623.771406,hue.motionSensor.motion,on
1642340651.024981,hue.motionSensor.motion,off
1642342646.065281,hue.motionSensor.motion,on
1642342664.025801,hue.motionSensor.motion,off
1642343068.965741,hue.motionSensor.motion,on
1642343086.872817,hue.motionSensor.motion,off
1642344409.153575,hue.motionSensor.motion,on
1642344427.064733,hue.motionSensor.motion,off
1642344440.437393,hue.motionSensor.motion,on
1642344450.377987,hue.motionSensor.motion,off
1642344502.138727,hue.motionSensor.motion,on
1642344512.045609,hue.motionSensor.motion,off
1642344513.052904,hue.motionSensor.motion,on
1642344526.080011,hue.motionSensor.motion,off
1642344536.497647,hue.motionSensor.motion,on
1642344546.436352,hue.motionSensor.motion,off
1642344549.540579,hue.motionSensor.motion,on
1642344592.800148,hue.motionSensor.motion,off
1642344638.616527,hue.motionSensor.motion,on
1642344660.628344,hue.motionSensor.motion,off
1642344667.205649,hue.motionSensor.motion,on
1642344693.776509,hue.motionSensor.motion,off
1642344932.904821,hue.motionSensor.motion,on
1642344942.813532,hue.motionSensor.motion,off
1642344972.506383,hue.motionSensor.motion,on
1642344986.440421,hue.motionSensor.motion,off
1642345261.170693,hue.motionSensor.motion,on
1642345274.611141,hue.motionSensor.motion,off
1642345314.551433,hue.motionSensor.motion,on
1642345328.971023,hue.motionSensor.motion,off
1642345349.256321,hue.motionSensor.motion,on
1642345363.828657,hue.motionSensor.motion,off
1642345494.775819,hue.motionSensor.motion,on
