time_stamp,entity,new_status
2021-04-21 12:06:27.195939,temperature,19.50
2021-04-21 12:06:27.201534,humidity,66.50
2021-04-21 12:07:27.027704,hue.motionSensor.motion,on
2021-04-21 12:07:37.031362,hue.motionSensor.motion,off
2021-04-21 12:07:52.028536,hue.motionSensor.motion,on
2021-04-21 12:08:00.412593,temperature,20.20
2021-04-21 12:08:00.418460,humidity,67.50
2021-04-21 12:08:02.025055,hue.motionSensor.motion,off
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:09:01.525847,phone.batteryLife,55
2021-04-21 12:09:02.033967,hue.motionSensor.motion,on
2021-04-21 12:09:11.468842,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:09:27.025356,hue.motionSensor.motion,off
2021-04-21 12:09:31.565998,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:09:33.889938,temperature,20.00
2021-04-21 12:09:34.175844,humidity,67.60
2021-04-21 12:09:47.026868,hue.motionSensor.motion,on
2021-04-21 12:09:51.372236,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:10:02.024966,hue.motionSensor.motion,off
2021-04-21 12:10:17.025637,hue.lightLevel,174.26
2021-04-21 12:10:32.024518,hue.motionSensor.motion,on
2021-04-21 12:10:42.025698,hue.motionSensor.motion,off
2021-04-21 12:11:07.787089,temperature,19.80
2021-04-21 12:11:07.794897,humidity,66.80
2021-04-21 12:11:12.025348,hue.temperature,19.95
2021-04-21 12:11:52.024831,hue.motionSensor.motion,on
2021-04-21 12:12:02.025432,hue.motionSensor.motion,off
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:12:10.997719,temperature,20.00
2021-04-21 12:12:11.008324,humidity,66.00
2021-04-21 05:07:00.837767,window,off
2021-04-21 12:13:17.025581,hue.motionSensor.motion,on
2021-04-21 12:13:27.023943,hue.motionSensor.motion,off
2021-04-21 12:13:37.031126,hue.motionSensor.motion,on
2021-04-21 12:13:44.011980,humidity,65.00
2021-04-21 12:14:02.023949,hue.motionSensor.motion,off
2021-04-21 12:14:24.366399,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:15:00.403601,phone.batteryLife,58
2021-04-21 12:15:10.477159,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:15:17.025328,hue.lightLevel,165.42
2021-04-21 12:15:17.559144,temperature,20.20
2021-04-21 12:15:17.837568,humidity,66.60
2021-04-21 12:15:30.507421,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:15:32.024576,hue.motionSensor.motion,on
2021-04-21 12:15:50.245641,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:15:58.298602,phone.batteryLife,60
2021-04-21 12:16:03.980261,phone.lightSensor,26
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:16:18.750041,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:16:35.174463,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:16:51.348123,humidity,67.20
2021-04-21 12:16:55.156984,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:17:02.025626,hue.motionSensor.motion,off
2021-04-21 12:17:07.030753,hue.motionSensor.motion,on
2021-04-21 12:17:27.023684,hue.motionSensor.motion,off
2021-04-21 12:17:32.024443,hue.motionSensor.motion,on
2021-04-21 12:17:52.023978,hue.motionSensor.motion,off
2021-04-21 12:17:55.241230,temperature,20.00
2021-04-21 12:17:55.247524,humidity,66.50
2021-04-21 12:17:55.416534,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:18:12.027993,hue.motionSensor.motion,on
2021-04-21 12:18:22.025324,hue.motionSensor.motion,off
2021-04-21 12:18:42.026585,hue.motionSensor.motion,on
2021-04-21 12:19:02.026489,hue.motionSensor.motion,off
2021-04-21 12:19:28.245181,humidity,65.90
2021-04-21 12:19:37.031750,hue.motionSensor.motion,on
2021-04-21 12:19:52.024291,hue.motionSensor.motion,off
2021-04-21 12:19:57.024484,hue.motionSensor.motion,on
2021-04-21 12:20:07.031631,hue.motionSensor.motion,off
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:20:12.027544,hue.motionSensor.motion,on
2021-04-21 12:20:17.024544,hue.lightLevel,156.49
2021-04-21 12:20:22.026743,hue.motionSensor.motion,off
2021-04-21 12:20:59.767145,phone.sleepConfidence,10
2021-04-21 12:20:59.771593,phone.batteryLife,58
2021-04-21 12:20:59.775561,phone.lightSensor,70
2021-04-21 12:21:02.098058,humidity,67.00
2021-04-21 12:21:07.033210,hue.temperature,19.81
2021-04-21 12:21:10.340512,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:21:30.074762,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:21:49.939624,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:21:57.025642,hue.motionSensor.motion,on
2021-04-21 12:22:22.025587,hue.motionSensor.motion,off
2021-04-21 12:22:35.616188,humidity,67.80
2021-04-21 12:22:37.033934,hue.motionSensor.motion,on
2021-04-21 12:22:50.216490,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:23:07.029586,hue.motionSensor.motion,off
2021-04-21 12:23:57.025628,hue.motionSensor.motion,on
2021-04-21 12:24:07.036613,hue.motionSensor.motion,off
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:24:08.871854,temperature,20.10
2021-04-21 12:24:08.877318,humidity,66.30
2021-04-21 12:24:17.025216,hue.motionSensor.motion,on
2021-04-21 12:24:27.025329,hue.motionSensor.motion,off
2021-04-21 12:24:47.025654,hue.motionSensor.motion,on
2021-04-21 12:24:57.026740,hue.motionSensor.motion,off
2021-04-21 12:25:17.026152,hue.lightLevel,147.37
2021-04-21 12:25:22.025777,hue.motionSensor.motion,on
2021-04-21 12:25:37.033235,hue.motionSensor.motion,off
2021-04-21 12:25:42.057624,humidity,67.50
2021-04-21 12:26:07.029698,hue.temperature,19.95
2021-04-21 12:26:57.685937,phone.sleepConfidence,18
2021-04-21 12:26:57.687859,phone.batteryLife,57
2021-04-21 12:26:57.691733,phone.lightSensor,43
2021-04-21 12:27:08.614354,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:27:16.373132,temperature,20.00
2021-04-21 12:27:16.655291,humidity,67.90
2021-04-21 12:27:29.043709,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:27:48.941797,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:27:57.026611,hue.motionSensor.motion,on
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:28:17.027586,hue.motionSensor.motion,off
2021-04-21 12:28:20.191543,temperature,20.20
2021-04-21 12:28:20.196508,humidity,66.20
2021-04-21 12:28:22.025089,hue.motionSensor.motion,on
2021-04-21 10:28:26.817212,weather.homeLocation,partlycloudy
2021-04-21 12:28:49.258362,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:28:57.027070,hue.motionSensor.motion,off
2021-04-21 12:29:02.025851,hue.motionSensor.motion,on
2021-04-21 12:29:12.026011,hue.motionSensor.motion,off
2021-04-21 12:29:47.023813,hue.motionSensor.motion,on
2021-04-21 12:29:53.200214,temperature,20.10
2021-04-21 12:29:53.206172,humidity,64.20
2021-04-21 12:29:57.024578,hue.motionSensor.motion,off
2021-04-21 12:30:12.027450,hue.lightLevel,140.09
2021-04-21 12:31:07.033591,hue.temperature,20.1
2021-04-21 12:31:26.500359,temperature,20.50
2021-04-21 12:31:26.508299,humidity,67.30
2021-04-21 04:19:41.016716,sun,above_horizon
2021-04-21 12:32:52.027772,hue.motionSensor.motion,on
2021-04-21 12:32:57.811256,phone.sleepConfidence,34
2021-04-21 12:32:57.813436,phone.batteryLife,56
2021-04-21 12:32:57.819442,phone.lightSensor,41
2021-04-21 12:33:00.045948,temperature,20.10
2021-04-21 12:33:00.327236,humidity,66.90
2021-04-21 12:33:07.675651,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:33:27.172882,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
2021-04-21 12:33:32.025176,hue.motionSensor.motion,off
2021-04-21 12:33:37.033347,hue.motionSensor.motion,on
2021-04-21 12:33:47.026294,hue.motionSensor.motion,off
2021-04-21 12:33:47.145200,phone.atHome,home
2021-04-20 15:20:53.663141,person.home,home
