time_stamp,entity,new_status
2021-04-20 12:05:56.023129,hue.motionSensor.motion,on
2021-04-19 07:43:31.349606,door,off
2021-04-20 12:06:12.395143,door,on
2021-04-20 12:06:16.028490,hue.motionSensor.motion,off
2021-04-20 12:06:12.395143,door,on
2021-04-20 12:06:19.169811,door,off
2021-04-20 12:06:50.562009,phone.atHome,home
2021-04-19 07:42:09.024002,person.home,home
2021-04-20 12:06:56.025857,hue.lightLevel,62.37
2021-04-20 12:06:59.283153,temperature,21.30
2021-04-20 12:06:59.286880,humidity,57.10
2021-04-20 12:07:10.902068,phone.atHome,home
2021-04-19 07:42:09.024002,person.home,home
2021-04-20 12:07:13.049613,door,on
2021-04-20 12:07:21.027608,hue.motionSensor.motion,on
2021-04-20 12:07:13.049613,door,on
2021-04-20 12:07:30.278355,phone.atHome,home
2021-04-19 07:42:09.024002,person.home,home
2021-04-20 12:07:30.418105,door,off
2021-04-20 12:07:31.032290,hue.motionSensor.motion,off
2021-04-20 12:08:02.830950,temperature,21.20
2021-04-20 12:08:03.105907,humidity,57.30
2021-04-20 12:08:13.575379,phone.activity,unknown
2021-04-20 12:08:13.579873,phone.lightSensor,0
2021-04-20 12:08:13.580740,phone.wifiConnection,<not connected>
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:08:39.774325,phone.activity,running
2021-04-20 12:08:39.776428,phone.wifiConnection,WiFi Darmstadt
2021-04-20 12:08:40.621750,phone.lightSensor,2
2021-04-20 12:08:40.622690,phone.wifiConnection,<not connected>
2021-04-20 12:08:43.385227,phone.atHome,home
2021-04-19 07:42:09.024002,person.home,home
2021-04-20 12:09:05.577542,temperature,21.10
2021-04-20 12:09:05.585721,humidity,57.20
2021-04-20 12:09:44.067995,phone.lightSensor,6
2021-04-20 12:09:44.069107,phone.wifiConnection,-REWE gratis WLAN-
2021-04-20 12:09:44.953666,phone.lightSensor,0
2021-04-20 12:09:44.954543,phone.wifiConnection,<not connected>
2021-04-20 12:09:48.714703,phone.activity,walking
2021-04-20 12:09:48.716058,phone.sleepConfidence,9
2021-04-20 12:09:57.532392,phone.atHome,not_home
2021-04-20 12:09:57.533873,person.home,not_home
2021-04-20 12:09:57.559257,camera.status,on
2021-04-20 12:11:56.024246,hue.lightLevel,63.04
2021-04-20 12:12:12.836561,temperature,21.00
2021-04-20 12:12:12.840879,humidity,57.40
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:13:46.628174,humidity,57.60
2021-04-20 12:14:54.581079,phone.activity,still
2021-04-20 12:14:54.583507,phone.batteryLife,97
2021-04-20 12:15:19.343539,temperature,20.90
2021-04-20 12:15:19.357008,humidity,57.80
2021-04-20 12:15:26.026675,hue.temperature,21.23
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:16:51.025974,hue.lightLevel,63.37
2021-04-20 12:16:52.544936,humidity,57.90
2021-04-20 12:18:26.596420,temperature,20.80
2021-04-20 12:20:00.386315,humidity,58.00
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:20:26.023892,hue.temperature,21.08
2021-04-20 12:20:46.275887,phone.sleepConfidence,30
2021-04-20 12:21:51.028270,hue.lightLevel,63.04
2021-04-20 12:23:06.268071,temperature,20.70
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:25:26.027227,hue.temperature,20.94
2021-04-20 12:26:07.652576,phone.sleepConfidence,5
2021-04-20 03:57:32.040796,ceilingLamp,on
2021-04-20 12:27:16.584601,humidity,58.10
2021-04-20 12:27:17.029146,deskLamp,off
2021-04-20 12:27:17.029513,ceilingLamp,off
2021-04-20 12:27:31.023955,hue.lightLevel,9.59
2021-04-20 12:27:32.027331,deskLamp,unavailable
2021-04-20 12:27:37.028170,deskLamp,off
2021-04-20 12:28:07.029184,deskLamp,unavailable
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:28:22.026857,deskLamp,off
2021-04-20 09:28:26.816328,weather.homeLocation,partlycloudy
2021-04-20 12:28:49.819330,temperature,20.60
2021-04-20 12:30:17.021494,deskLamp,unavailable
2021-04-20 12:30:23.920328,humidity,58.20
2021-04-20 12:30:32.026977,deskLamp,off
2021-04-20 12:30:52.023180,deskLamp,unavailable
2021-04-20 12:31:02.027051,deskLamp,off
2021-04-20 12:31:16.162947,phone.sleepConfidence,29
2021-04-20 12:31:57.717176,humidity,58.30
2021-04-20 04:21:39.017292,sun,above_horizon
2021-04-20 12:32:31.026879,hue.lightLevel,8.6
2021-04-20 12:32:52.025071,deskLamp,unavailable
2021-04-20 12:32:57.029706,deskLamp,off
2021-04-20 12:33:30.385912,humidity,58.20
2021-04-20 12:34:47.023775,deskLamp,unavailable
2021-04-20 12:34:57.023191,deskLamp,off
2021-04-20 12:35:22.029702,deskLamp,unavailable
