time_stamp,entity,new_status
1626051600.0,automation.dinnerLights,on
1626051600.0,automation.lightsOnWhenMotionDetected,on
1626051600.0,automation.lightsOffWhenTooBright,on
1626051600.0,automation.lightsOffWhenNoMotion,on
1626051600.0,window,off
1626053885.735159,window,unavailable
1626053889.171514,window,off
1626053949.060387,window,unavailable
1626053965.224134,window,off
1626075982.660431,window,on
1626116137.136447,window,off
1626051600.0,controll.accessRoom1,off
1626066450.887362,controll.accessRoom1,on
1626066499.650076,controll.accessRoom1,off
1626066563.419093,controll.accessRoom1,on
1626066575.451652,controll.accessRoom1,off
1626066670.601928,controll.accessRoom1,on
1626066706.566543,controll.accessRoom1,off
1626084585.69304,controll.accessRoom1,on
1626084597.409361,controll.accessRoom1,off
1626088784.434748,controll.accessRoom1,on
1626088795.159031,controll.accessRoom1,off
1626089372.773985,controll.accessRoom1,on
1626089394.240787,controll.accessRoom1,off
1626091538.557772,controll.accessRoom1,on
1626091560.829943,controll.accessRoom1,off
1626099448.647629,controll.accessRoom1,on
1626099461.901842,controll.accessRoom1,off
1626106162.519756,controll.accessRoom1,on
1626106167.242861,controll.accessRoom1,off
1626110707.972746,controll.accessRoom1,on
1626110781.76599,controll.accessRoom1,off
1626051600.0,hue.motionSensor.motion,off
1626065146.037388,hue.motionSensor.motion,on
1626065161.037833,hue.motionSensor.motion,off
1626065166.036851,hue.motionSensor.motion,on
1626065181.037783,hue.motionSensor.motion,off
1626065431.039389,hue.motionSensor.motion,on
1626065476.037476,hue.motionSensor.motion,off
1626065486.039257,hue.motionSensor.motion,on
1626065526.035854,hue.motionSensor.motion,off
1626065676.037614,hue.motionSensor.motion,on
1626065711.021352,hue.motionSensor.motion,off
1626066076.043045,hue.motionSensor.motion,on
1626066091.021215,hue.motionSensor.motion,off
1626066201.036651,hue.motionSensor.motion,on
1626066241.023209,hue.motionSensor.motion,off
1626066246.022826,hue.motionSensor.motion,on
1626066261.036995,hue.motionSensor.motion,off
1626066296.020639,hue.motionSensor.motion,on
1626066311.03795,hue.motionSensor.motion,off
1626066441.03763,hue.motionSensor.motion,on
1626066451.039384,hue.motionSensor.motion,off
1626066466.036898,hue.motionSensor.motion,on
1626066486.03586,hue.motionSensor.motion,off
1626066506.037502,hue.motionSensor.motion,on
1626066546.027818,hue.motionSensor.motion,off
1626066601.03882,hue.motionSensor.motion,on
1626066611.023614,hue.motionSensor.motion,off
1626066646.042329,hue.motionSensor.motion,on
1626066681.021398,hue.motionSensor.motion,off
1626066701.038322,hue.motionSensor.motion,on
1626066716.036766,hue.motionSensor.motion,off
1626066731.037457,hue.motionSensor.motion,on
1626066746.037433,hue.motionSensor.motion,off
1626066751.020924,hue.motionSensor.motion,on
1626066781.0376,hue.motionSensor.motion,off
1626066881.037778,hue.motionSensor.motion,on
1626066891.036534,hue.motionSensor.motion,off
1626068041.024034,hue.motionSensor.motion,on
1626068051.021275,hue.motionSensor.motion,off
1626068466.037747,hue.motionSensor.motion,on
1626068476.037054,hue.motionSensor.motion,off
1626069286.022389,hue.motionSensor.motion,on
1626069296.03662,hue.motionSensor.motion,off
1626071706.038112,hue.motionSensor.motion,on
1626071716.036633,hue.motionSensor.motion,off
