time_stamp,entity,new_status
1626656400.0,automation.dinnerLights,on
1626656400.0,automation.lightsOnWhenMotionDetected,on
1626656400.0,automation.lightsOffWhenTooBright,on
1626656400.0,automation.lightsOffWhenNoMotion,on
1626656400.0,window,off
1626658248.066792,window,unavailable
1626658251.309007,window,off
1626658367.795187,window,unavailable
1626658383.391075,window,off
1626656400.0,controll.accessRoom1,off
1626681258.191899,controll.accessRoom1,on
1626681263.843779,controll.accessRoom1,off
1626681949.951747,controll.accessRoom1,on
1626681954.432244,controll.accessRoom1,off
1626682937.994915,controll.accessRoom1,on
1626682942.886888,controll.accessRoom1,off
1626656400.0,hue.motionSensor.motion,off
1626678961.035528,hue.motionSensor.motion,on
1626678976.021158,hue.motionSensor.motion,off
1626678986.035161,hue.motionSensor.motion,on
1626679001.03762,hue.motionSensor.motion,off
1626679026.023687,hue.motionSensor.motion,on
1626679041.036903,hue.motionSensor.motion,off
1626679161.021596,hue.motionSensor.motion,on
1626679176.022696,hue.motionSensor.motion,off
1626679196.02189,hue.motionSensor.motion,on
1626679216.03708,hue.motionSensor.motion,off
1626679236.036818,hue.motionSensor.motion,on
1626679256.022212,hue.motionSensor.motion,off
1626679276.036543,hue.motionSensor.motion,on
1626679291.034621,hue.motionSensor.motion,off
1626679351.037324,hue.motionSensor.motion,on
1626679361.036738,hue.motionSensor.motion,off
1626679386.022338,hue.motionSensor.motion,on
1626679401.037486,hue.motionSensor.motion,off
1626679451.037738,hue.motionSensor.motion,on
1626679461.023007,hue.motionSensor.motion,off
1626680196.035804,hue.motionSensor.motion,on
1626680201.034152,hue.motionSensor.motion,off
1626681206.038439,hue.motionSensor.motion,on
1626681231.036899,hue.motionSensor.motion,off
1626681571.022365,hue.motionSensor.motion,on
1626681591.035186,hue.motionSensor.motion,off
1626681711.03553,hue.motionSensor.motion,on
1626681721.020997,hue.motionSensor.motion,off
1626681731.036118,hue.motionSensor.motion,on
1626681741.036302,hue.motionSensor.motion,off
1626681746.038842,hue.motionSensor.motion,on
1626681756.038446,hue.motionSensor.motion,off
1626681786.036824,hue.motionSensor.motion,on
1626681796.03807,hue.motionSensor.motion,off
1626681956.036692,hue.motionSensor.motion,on
1626681966.037129,hue.motionSensor.motion,off
1626682081.037748,hue.motionSensor.motion,on
1626682096.023454,hue.motionSensor.motion,off
1626682101.035578,hue.motionSensor.motion,on
1626682111.035807,hue.motionSensor.motion,off
1626682141.023865,hue.motionSensor.motion,on
1626682186.037598,hue.motionSensor.motion,off
1626682226.037184,hue.motionSensor.motion,on
1626682241.021793,hue.motionSensor.motion,off
1626682651.025449,hue.motionSensor.motion,on
1626682661.02378,hue.motionSensor.motion,off
1626682676.023472,hue.motionSensor.motion,on
1626682686.036478,hue.motionSensor.motion,off
1626683066.020601,hue.motionSensor.motion,on
1626683101.037701,hue.motionSensor.motion,off
1626683266.020858,hue.motionSensor.motion,on
1626683306.036589,hue.motionSensor.motion,off
1626683316.020739,hue.motionSensor.motion,on
1626683331.023618,hue.motionSensor.motion,off
1626683651.036388,hue.motionSensor.motion,on
1626683661.036934,hue.motionSensor.motion,off
1626683666.038236,hue.motionSensor.motion,on
1626683676.038685,hue.motionSensor.motion,off
1626683766.037645,hue.motionSensor.motion,on
1626683776.022461,hue.motionSensor.motion,off
1626684106.037707,hue.motionSensor.motion,on
1626684121.037454,hue.motionSensor.motion,off
1626684131.021344,hue.motionSensor.motion,on
1626684206.036942,hue.motionSensor.motion,off
1626684236.037625,hue.motionSensor.motion,on
1626684256.036798,hue.motionSensor.motion,off
1626684266.035412,hue.motionSensor.motion,on
1626684311.037724,hue.motionSensor.motion,off
1626684321.020829,hue.motionSensor.motion,on
1626684331.02275,hue.motionSensor.motion,off
1626684476.036885,hue.motionSensor.motion,on
1626684486.023228,hue.motionSensor.motion,off
1626684556.036832,hue.motionSensor.motion,on
1626684601.021697,hue.motionSensor.motion,off
1626684901.040437,hue.motionSensor.motion,on
1626684946.036862,hue.motionSensor.motion,off
1626685211.02163,hue.motionSensor.motion,on
1626685241.021876,hue.motionSensor.motion,off
1626685246.02234,hue.motionSensor.motion,on
1626685271.041454,hue.motionSensor.motion,off
1626685286.038466,hue.motionSensor.motion,on
1626685301.037,hue.motionSensor.motion,off
1626685311.023753,hue.motionSensor.motion,on
1626685356.037471,hue.motionSensor.motion,off
1626685371.03682,hue.motionSensor.motion,on
1626685396.035236,hue.motionSensor.motion,off
1626685411.036721,hue.motionSensor.motion,on
1626685481.02207,hue.motionSensor.motion,off
1626685496.036441,hue.motionSensor.motion,on
1626685541.022409,hue.motionSensor.motion,off
1626685561.021813,hue.motionSensor.motion,on
1626685576.037247,hue.motionSensor.motion,off
1626685646.036495,hue.motionSensor.motion,on
1626685656.023196,hue.motionSensor.motion,off
1626685701.03662,hue.motionSensor.motion,on
1626685731.022967,hue.motionSensor.motion,off
1626685736.037237,hue.motionSensor.motion,on
1626685761.025675,hue.motionSensor.motion,off
1626685906.021947,hue.motionSensor.motion,on
1626685916.020608,hue.motionSensor.motion,off
1626686161.036083,hue.motionSensor.motion,on
1626686171.037723,hue.motionSensor.motion,off
1626686196.035809,hue.motionSensor.motion,on
1626686206.036897,hue.motionSensor.motion,off
1626686311.04296,hue.motionSensor.motion,on
1626686321.036864,hue.motionSensor.motion,off
1626686381.038151,hue.motionSensor.motion,on
1626686406.038581,hue.motionSensor.motion,off
1626686536.03889,hue.motionSensor.motion,on
1626686576.037747,hue.motionSensor.motion,off
1626686596.037766,hue.motionSensor.motion,on
1626686606.036618,hue.motionSensor.motion,off
1626686691.037055,hue.motionSensor.motion,on
1626686701.037625,hue.motionSensor.motion,off
1626686711.037686,hue.motionSensor.motion,on
1626686721.036528,hue.motionSensor.motion,off
1626686726.022947,hue.motionSensor.motion,on
1626686736.036011,hue.motionSensor.motion,off
1626686806.024068,hue.motionSensor.motion,on
1626686816.036583,hue.motionSensor.motion,off
1626686831.023221,hue.motionSensor.motion,on
1626686846.038138,hue.motionSensor.motion,off
1626686856.038022,hue.motionSensor.motion,on
1626686866.035774,hue.motionSensor.motion,off
1626686876.03889,hue.motionSensor.motion,on
1626686901.03694,hue.motionSensor.motion,off
1626686956.037963,hue.motionSensor.motion,on
1626686976.039372,hue.motionSensor.motion,off
1626687046.037844,hue.motionSensor.motion,on
1626687056.034523,hue.motionSensor.motion,off
1626687061.021491,hue.motionSensor.motion,on
1626687076.023344,hue.motionSensor.motion,off
1626687121.03761,hue.motionSensor.motion,on
1626687141.024421,hue.motionSensor.motion,off
1626687276.037652,hue.motionSensor.motion,on
1626687286.037508,hue.motionSensor.motion,off
1626687301.022656,hue.motionSensor.motion,on
1626687311.037022,hue.motionSensor.motion,off
1626687496.038469,hue.motionSensor.motion,on
1626687516.036519,hue.motionSensor.motion,off
1626687541.036503,hue.motionSensor.motion,on
