time_stamp,entity,new_status
1621443600.0,automation.dinnerLights,on
1621468158.660965,automation.dinnerLights,off
1621468158.661117,automation.dinnerLights,unavailable
1621468158.707148,automation.dinnerLights,on
1621443600.0,automation.lightsOnWhenMotionDetected,on
1621468158.660156,automation.lightsOnWhenMotionDetected,off
1621468158.660358,automation.lightsOnWhenMotionDetected,unavailable
1621468158.706801,automation.lightsOnWhenMotionDetected,on
1621443600.0,automation.cameraOffWhenAtHome,on
1621468158.662471,automation.cameraOffWhenAtHome,off
1621468158.662623,automation.cameraOffWhenAtHome,unavailable
1621468158.707822,automation.cameraOffWhenAtHome,on
1621443600.0,automation.lightsOffWhenTooBright,on
1621468158.663307,automation.lightsOffWhenTooBright,off
1621468158.66352,automation.lightsOffWhenTooBright,unavailable
1621468158.708165,automation.lightsOffWhenTooBright,on
1621443600.0,automation.lightsOffWhenNoMotion,on
1621468158.664209,automation.lightsOffWhenNoMotion,off
1621468158.664531,automation.lightsOffWhenNoMotion,unavailable
1621468158.70867,automation.lightsOffWhenNoMotion,on
1621443600.0,automation.cameraOnWhenUserLeave,on
1621468158.66172,automation.cameraOnWhenUserLeave,off
1621468158.661879,automation.cameraOnWhenUserLeave,unavailable
1621468158.70748,automation.cameraOnWhenUserLeave,on
1621443600.0,window,off
1621451610.178356,window,on
1621451860.456298,window,off
1621474434.21026,window,unavailable
1621474439.131061,window,off
1621474499.014315,window,unavailable
1621474513.163473,window,off
1621497135.750216,window,on
1621497765.955766,window,off
1621443600.0,controll.accessRoom1,off
1621452717.51866,controll.accessRoom1,on
1621452719.431971,controll.accessRoom1,off
1621487230.418908,controll.accessRoom1,on
1621487239.220005,controll.accessRoom1,off
1621487398.95049,controll.accessRoom1,on
1621487460.606517,controll.accessRoom1,off
1621487714.340103,controll.accessRoom1,on
1621487724.799963,controll.accessRoom1,off
1621443600.0,hue.motionSensor.motion,off
1621444318.117548,hue.motionSensor.motion,on
1621444643.038706,hue.motionSensor.motion,off
1621447453.038394,hue.motionSensor.motion,on
1621447798.038041,hue.motionSensor.motion,off
1621448528.039298,hue.motionSensor.motion,on
1621448543.051513,hue.motionSensor.motion,off
1621448548.025314,hue.motionSensor.motion,on
1621448583.027,hue.motionSensor.motion,off
1621448618.030811,hue.motionSensor.motion,on
1621448628.037905,hue.motionSensor.motion,off
1621448638.037434,hue.motionSensor.motion,on
1621448648.026952,hue.motionSensor.motion,off
1621448663.038851,hue.motionSensor.motion,on
1621448758.027317,hue.motionSensor.motion,off
1621448773.028048,hue.motionSensor.motion,on
1621448793.025868,hue.motionSensor.motion,off
1621448818.040185,hue.motionSensor.motion,on
1621448833.027755,hue.motionSensor.motion,off
1621448868.038593,hue.motionSensor.motion,on
1621448878.037889,hue.motionSensor.motion,off
1621448883.036999,hue.motionSensor.motion,on
1621448898.036416,hue.motionSensor.motion,off
1621448908.038232,hue.motionSensor.motion,on
1621448988.039649,hue.motionSensor.motion,off
1621448998.029213,hue.motionSensor.motion,on
1621449093.025763,hue.motionSensor.motion,off
1621449098.038845,hue.motionSensor.motion,on
1621449138.040323,hue.motionSensor.motion,off
1621449143.038933,hue.motionSensor.motion,on
1621449158.027651,hue.motionSensor.motion,off
1621449163.038582,hue.motionSensor.motion,on
1621449198.038314,hue.motionSensor.motion,off
1621449203.038281,hue.motionSensor.motion,on
1621449258.035294,hue.motionSensor.motion,off
1621449263.026762,hue.motionSensor.motion,on
1621449293.039461,hue.motionSensor.motion,off
1621449303.027817,hue.motionSensor.motion,on
1621449373.074779,hue.motionSensor.motion,off
