time_stamp,entity,new_status
1622509200.0,automation.dinnerLights,on
1622509200.0,automation.lightsOnWhenMotionDetected,on
1622509200.0,automation.cameraOffWhenAtHome,on
1622509200.0,automation.lightsOffWhenTooBright,on
1622509200.0,automation.lightsOffWhenNoMotion,on
1622509200.0,automation.cameraOnWhenUserLeave,on
1622509200.0,window,off
1622510466.377602,window,unavailable
1622510468.813182,window,off
1622510528.55903,window,unavailable
1622510542.714956,window,off
1622528873.479275,window,on
1622529327.229847,window,off
1622573752.517184,window,unavailable
1622573754.261485,window,off
1622573814.130353,window,unavailable
1622573828.286165,window,off
1622509200.0,controll.accessRoom1,off
1622524053.875129,controll.accessRoom1,on
1622524113.011316,controll.accessRoom1,off
1622524323.833147,controll.accessRoom1,on
1622524378.931467,controll.accessRoom1,off
1622524427.900334,controll.accessRoom1,on
1622524464.677673,controll.accessRoom1,off
1622527721.307311,controll.accessRoom1,on
1622527747.348429,controll.accessRoom1,off
1622528526.662273,controll.accessRoom1,on
1622528533.140899,controll.accessRoom1,off
1622533246.356162,controll.accessRoom1,on
1622533303.622233,controll.accessRoom1,off
1622533312.191914,controll.accessRoom1,on
1622533318.013078,controll.accessRoom1,off
1622538272.153851,controll.accessRoom1,on
1622538285.160073,controll.accessRoom1,off
1622546916.606111,controll.accessRoom1,on
1622547203.831279,controll.accessRoom1,off
1622547204.964084,controll.accessRoom1,on
1622547257.403285,controll.accessRoom1,off
1622551202.02429,controll.accessRoom1,on
1622551208.966321,controll.accessRoom1,off
1622556002.622538,controll.accessRoom1,on
1622556008.539161,controll.accessRoom1,off
1622560254.478578,controll.accessRoom1,on
1622560425.96407,controll.accessRoom1,off
1622563153.257207,controll.accessRoom1,on
1622563272.190099,controll.accessRoom1,off
1622564906.730777,controll.accessRoom1,on
1622564982.677118,controll.accessRoom1,off
1622566142.235833,controll.accessRoom1,on
1622566157.318622,controll.accessRoom1,off
1622567627.622892,controll.accessRoom1,on
1622567637.706149,controll.accessRoom1,off
1622567680.412653,controll.accessRoom1,on
1622567821.720565,controll.accessRoom1,off
1622567822.762912,controll.accessRoom1,on
1622567825.124741,controll.accessRoom1,off
1622509200.0,hue.motionSensor.motion,off
1622523274.037809,hue.motionSensor.motion,on
1622523314.022595,hue.motionSensor.motion,off
1622523324.03684,hue.motionSensor.motion,on
1622523339.036337,hue.motionSensor.motion,off
1622523494.037229,hue.motionSensor.motion,on
1622523534.039206,hue.motionSensor.motion,off
1622523539.037605,hue.motionSensor.motion,on
1622523569.037757,hue.motionSensor.motion,off
1622523574.023128,hue.motionSensor.motion,on
1622523624.023488,hue.motionSensor.motion,off
1622523734.021031,hue.motionSensor.motion,on
1622523749.038651,hue.motionSensor.motion,off
1622523759.023452,hue.motionSensor.motion,on
1622523769.039715,hue.motionSensor.motion,off
1622523784.036622,hue.motionSensor.motion,on
1622523794.038522,hue.motionSensor.motion,off
1622523799.023504,hue.motionSensor.motion,on
1622523809.024291,hue.motionSensor.motion,off
1622523824.0392,hue.motionSensor.motion,on
1622523834.037621,hue.motionSensor.motion,off
1622523854.026073,hue.motionSensor.motion,on
1622523869.037461,hue.motionSensor.motion,off
1622523879.038107,hue.motionSensor.motion,on
1622523889.024613,hue.motionSensor.motion,off
1622523994.037153,hue.motionSensor.motion,on
1622524009.039586,hue.motionSensor.motion,off
1622524024.025168,hue.motionSensor.motion,on
1622524034.040415,hue.motionSensor.motion,off
1622524039.038512,hue.motionSensor.motion,on
1622524059.022269,hue.motionSensor.motion,off
1622524084.03865,hue.motionSensor.motion,on
1622524094.03789,hue.motionSensor.motion,off
1622524124.023117,hue.motionSensor.motion,on
1622524164.021879,hue.motionSensor.motion,off
1622524189.02406,hue.motionSensor.motion,on
1622524194.040697,hue.motionSensor.motion,off
1622524209.024942,hue.motionSensor.motion,on
1622524224.037685,hue.motionSensor.motion,off
1622524504.038198,hue.motionSensor.motion,on
1622524524.03782,hue.motionSensor.motion,off
1622524629.037379,hue.motionSensor.motion,on
1622524669.038181,hue.motionSensor.motion,off
1622524679.037088,hue.motionSensor.motion,on
1622524709.038022,hue.motionSensor.motion,off
1622525919.03793,hue.motionSensor.motion,on
1622525934.03887,hue.motionSensor.motion,off
1622527514.03752,hue.motionSensor.motion,on
