time_stamp,entity,new_status
1624289895.096561,automation.dinnerLights,on
1624291194.270633,automation.dinnerLights,on
1624291875.038093,automation.dinnerLights,on
1624292954.74523,automation.dinnerLights,on
1624624216.807031,automation.dinnerLights,on
1624289895.096074,automation.lightsOnWhenMotionDetected,on
1624291194.269739,automation.lightsOnWhenMotionDetected,on
1624291875.037408,automation.lightsOnWhenMotionDetected,on
1624292954.744484,automation.lightsOnWhenMotionDetected,on
1624624216.806148,automation.lightsOnWhenMotionDetected,on
1624289895.097385,automation.cameraOffWhenAtHome,on
1624291194.271719,automation.cameraOffWhenAtHome,on
1624291875.038955,automation.cameraOffWhenAtHome,on
1624292954.746532,automation.cameraOffWhenAtHome,on
1624624216.808332,automation.cameraOffWhenAtHome,on
1624289895.097828,automation.lightsOffWhenTooBright,on
1624291194.272348,automation.lightsOffWhenTooBright,on
1624291875.039391,automation.lightsOffWhenTooBright,on
1624292954.747117,automation.lightsOffWhenTooBright,on
1624624216.80898,automation.lightsOffWhenTooBright,on
1624289895.098222,automation.lightsOffWhenNoMotion,on
1624291194.272854,automation.lightsOffWhenNoMotion,on
1624291875.039794,automation.lightsOffWhenNoMotion,on
1624292954.747671,automation.lightsOffWhenNoMotion,on
1624624216.810303,automation.lightsOffWhenNoMotion,on
1624289895.09699,automation.cameraOnWhenUserLeave,on
1624291194.271245,automation.cameraOnWhenUserLeave,on
1624291875.038511,automation.cameraOnWhenUserLeave,on
1624292954.745816,automation.cameraOnWhenUserLeave,on
1624624216.807558,automation.cameraOnWhenUserLeave,on
1624239072.903478,window,unavailable
1624239077.190152,window,off
1624239137.079013,window,unavailable
1624239153.270482,window,off
1624251666.916782,window,on
1624289896.888985,window,on
1624291197.541213,window,on
1624291876.472482,window,on
1624292956.152164,window,on
1624624334.29762,window,unavailable
1624628928.410788,window,off
1624629027.184631,window,unavailable
1624629039.704807,window,off
1624251967.288626,controll.accessRoom1,on
1624251977.980062,controll.accessRoom1,off
1624252214.41238,controll.accessRoom1,on
1624252224.353239,controll.accessRoom1,off
1624274317.271217,controll.accessRoom1,on
1624274372.425232,controll.accessRoom1,off
1624281217.650784,controll.accessRoom1,on
1624281229.364235,controll.accessRoom1,off
1624281282.996558,controll.accessRoom1,on
1624281288.761002,controll.accessRoom1,off
1624284800.352182,controll.accessRoom1,on
1624284819.729353,controll.accessRoom1,off
1624288866.471643,controll.accessRoom1,on
1624288870.847799,controll.accessRoom1,off
1624289896.890959,controll.accessRoom1,off
1624291197.542971,controll.accessRoom1,off
1624291876.47483,controll.accessRoom1,off
1624292956.154072,controll.accessRoom1,off
1624624334.296922,controll.accessRoom1,unavailable
1624628928.413992,controll.accessRoom1,off
1624634830.669063,controll.accessRoom1,on
1624634837.074312,controll.accessRoom1,off
1624634837.55411,controll.accessRoom1,on
1624634847.504264,controll.accessRoom1,off
1624637078.900673,controll.accessRoom1,on
1624637125.470463,controll.accessRoom1,off
1624640542.538215,controll.accessRoom1,on
1624640559.250989,controll.accessRoom1,off
1624648002.601496,controll.accessRoom1,on
1624648008.104907,controll.accessRoom1,off
1624250844.861337,hue.motionSensor.motion,on
1624250858.79909,hue.motionSensor.motion,off
1624250862.192561,hue.motionSensor.motion,on
1624250876.125141,hue.motionSensor.motion,off
1624250898.249227,hue.motionSensor.motion,on
1624250921.879779,hue.motionSensor.motion,off
1624251204.448126,hue.motionSensor.motion,on
1624251234.570826,hue.motionSensor.motion,off
1624251239.659005,hue.motionSensor.motion,on
