time_stamp,entity,new_status
1623200400.0,automation.dinnerLights,on
1623200400.0,automation.lightsOnWhenMotionDetected,on
1623200400.0,automation.cameraOffWhenAtHome,on
1623200400.0,automation.lightsOffWhenTooBright,on
1623200400.0,automation.lightsOffWhenNoMotion,on
1623200400.0,automation.cameraOnWhenUserLeave,on
1623200400.0,window,off
1623203176.02235,window,unavailable
1623203182.47545,window,off
1623203242.361166,window,unavailable
1623203254.514861,window,off
1623210639.623997,window,unavailable
1623210645.992405,window,off
1623210705.871283,window,unavailable
1623210720.083569,window,off
1623200400.0,controll.accessRoom1,off
1623215310.430369,controll.accessRoom1,on
1623215420.097311,controll.accessRoom1,off
1623215543.655087,controll.accessRoom1,on
1623215547.214245,controll.accessRoom1,off
1623215548.610302,controll.accessRoom1,on
1623215555.75508,controll.accessRoom1,off
1623216739.890458,controll.accessRoom1,on
1623216751.45739,controll.accessRoom1,off
1623228798.339772,controll.accessRoom1,on
1623228807.416223,controll.accessRoom1,off
1623234382.652416,controll.accessRoom1,on
1623234392.539908,controll.accessRoom1,off
1623236366.767876,controll.accessRoom1,on
1623236398.223069,controll.accessRoom1,off
1623238201.09831,controll.accessRoom1,on
1623238214.347877,controll.accessRoom1,off
1623245947.60694,controll.accessRoom1,on
1623245983.901964,controll.accessRoom1,off
1623245987.522797,controll.accessRoom1,on
1623246002.230973,controll.accessRoom1,off
1623246003.29888,controll.accessRoom1,on
1623246064.210498,controll.accessRoom1,off
1623246086.087882,controll.accessRoom1,on
1623246105.364068,controll.accessRoom1,off
1623247157.196827,controll.accessRoom1,on
1623247244.5019,controll.accessRoom1,off
1623247424.557781,controll.accessRoom1,on
1623247480.893317,controll.accessRoom1,off
1623247620.971212,controll.accessRoom1,on
1623247637.647765,controll.accessRoom1,off
1623247652.621821,controll.accessRoom1,on
1623247666.704548,controll.accessRoom1,off
1623249505.670865,controll.accessRoom1,on
1623249542.750127,controll.accessRoom1,off
1623249547.923553,controll.accessRoom1,on
1623249580.259724,controll.accessRoom1,off
1623249640.327318,controll.accessRoom1,on
1623249745.514178,controll.accessRoom1,off
1623250523.018659,controll.accessRoom1,on
1623250545.357504,controll.accessRoom1,off
1623252067.042817,controll.accessRoom1,on
1623252083.128102,controll.accessRoom1,off
1623252088.580818,controll.accessRoom1,on
1623252093.067151,controll.accessRoom1,off
1623252288.461657,controll.accessRoom1,on
1623252296.70147,controll.accessRoom1,off
1623254151.683543,controll.accessRoom1,on
1623254166.806601,controll.accessRoom1,off
1623200400.0,hue.motionSensor.motion,off
1623214209.040807,hue.motionSensor.motion,on
1623214229.037957,hue.motionSensor.motion,off
1623214409.038026,hue.motionSensor.motion,on
1623214934.022098,hue.motionSensor.motion,off
1623214944.022707,hue.motionSensor.motion,on
1623214964.038056,hue.motionSensor.motion,off
1623215024.021493,hue.motionSensor.motion,on
1623215149.035844,hue.motionSensor.motion,off
1623215164.035878,hue.motionSensor.motion,on
1623215174.038675,hue.motionSensor.motion,off
1623215189.037539,hue.motionSensor.motion,on
1623215209.022435,hue.motionSensor.motion,off
1623215219.037899,hue.motionSensor.motion,on
1623215314.040627,hue.motionSensor.motion,off
1623215469.038443,hue.motionSensor.motion,on
1623215484.038515,hue.motionSensor.motion,off
1623215539.038277,hue.motionSensor.motion,on
1623215549.037261,hue.motionSensor.motion,off
1623215574.03891,hue.motionSensor.motion,on
1623215584.041145,hue.motionSensor.motion,off
1623215629.024624,hue.motionSensor.motion,on
1623215669.021449,hue.motionSensor.motion,off
1623215764.037491,hue.motionSensor.motion,on
1623215784.038386,hue.motionSensor.motion,off
1623215809.024609,hue.motionSensor.motion,on
1623215819.022109,hue.motionSensor.motion,off
1623215849.022986,hue.motionSensor.motion,on
1623215864.037705,hue.motionSensor.motion,off
1623215884.022516,hue.motionSensor.motion,on
1623215894.024466,hue.motionSensor.motion,off
1623215934.038241,hue.motionSensor.motion,on
1623215959.037331,hue.motionSensor.motion,off
1623216349.024982,hue.motionSensor.motion,on
1623216359.039838,hue.motionSensor.motion,off
1623216449.038034,hue.motionSensor.motion,on
1623216469.038287,hue.motionSensor.motion,off
1623216619.026316,hue.motionSensor.motion,on
1623216784.037485,hue.motionSensor.motion,off
1623216824.037241,hue.motionSensor.motion,on
1623216839.03757,hue.motionSensor.motion,off
1623216884.038699,hue.motionSensor.motion,on
1623216899.038029,hue.motionSensor.motion,off
1623216984.03863,hue.motionSensor.motion,on
1623216994.037694,hue.motionSensor.motion,off
1623218784.038269,hue.motionSensor.motion,on
1623218799.023828,hue.motionSensor.motion,off
1623218804.023716,hue.motionSensor.motion,on
1623218859.03928,hue.motionSensor.motion,off
1623219474.040537,hue.motionSensor.motion,on
1623219489.03977,hue.motionSensor.motion,off
1623219494.039332,hue.motionSensor.motion,on
1623219504.039014,hue.motionSensor.motion,off
1623219529.036936,hue.motionSensor.motion,on
1623219544.0377,hue.motionSensor.motion,off
1623219559.022983,hue.motionSensor.motion,on
1623219569.023273,hue.motionSensor.motion,off
1623219589.037493,hue.motionSensor.motion,on
1623219604.025566,hue.motionSensor.motion,off
1623225039.037414,hue.motionSensor.motion,on
1623225049.024762,hue.motionSensor.motion,off
1623225304.038114,hue.motionSensor.motion,on
1623225319.025959,hue.motionSensor.motion,off
1623226309.037828,hue.motionSensor.motion,on
1623226319.024258,hue.motionSensor.motion,off
1623226329.023866,hue.motionSensor.motion,on
1623226344.024046,hue.motionSensor.motion,off
1623226359.023901,hue.motionSensor.motion,on
1623226374.037566,hue.motionSensor.motion,off
1623226434.02369,hue.motionSensor.motion,on
1623226484.038191,hue.motionSensor.motion,off
1623226494.021312,hue.motionSensor.motion,on
1623226509.024567,hue.motionSensor.motion,off
1623226539.038718,hue.motionSensor.motion,on
1623226559.023042,hue.motionSensor.motion,off
1623226579.038122,hue.motionSensor.motion,on
1623226594.023421,hue.motionSensor.motion,off
1623226649.038957,hue.motionSensor.motion,on
1623226664.04032,hue.motionSensor.motion,off
1623226794.038776,hue.motionSensor.motion,on
1623226814.023001,hue.motionSensor.motion,off
1623226874.037917,hue.motionSensor.motion,on
1623226884.024842,hue.motionSensor.motion,off
1623227004.036361,hue.motionSensor.motion,on
1623227014.032298,hue.motionSensor.motion,off
1623227024.024122,hue.motionSensor.motion,on
1623227054.03757,hue.motionSensor.motion,off
1623227064.022907,hue.motionSensor.motion,on
1623227094.03777,hue.motionSensor.motion,off
1623227194.038694,hue.motionSensor.motion,on
1623227204.02259,hue.motionSensor.motion,off
1623227289.038517,hue.motionSensor.motion,on
1623227299.038583,hue.motionSensor.motion,off
1623227324.038401,hue.motionSensor.motion,on
1623227334.02405,hue.motionSensor.motion,off
1623227344.038554,hue.motionSensor.motion,on
1623227354.037798,hue.motionSensor.motion,off
1623227444.038446,hue.motionSensor.motion,on
1623227454.025109,hue.motionSensor.motion,off
1623227539.02481,hue.motionSensor.motion,on
1623227554.023539,hue.motionSensor.motion,off
1623227614.047823,hue.motionSensor.motion,on
1623227624.02354,hue.motionSensor.motion,off
1623227649.038197,hue.motionSensor.motion,on
1623227659.039291,hue.motionSensor.motion,off
1623227759.021707,hue.motionSensor.motion,on
1623227769.037626,hue.motionSensor.motion,off
1623227799.021821,hue.motionSensor.motion,on
1623227819.025115,hue.motionSensor.motion,off
1623227869.025366,hue.motionSensor.motion,on
1623227879.040209,hue.motionSensor.motion,off
1623227899.03987,hue.motionSensor.motion,on
1623227919.025583,hue.motionSensor.motion,off
1623227924.039069,hue.motionSensor.motion,on
1623227954.039471,hue.motionSensor.motion,off
1623227999.046897,hue.motionSensor.motion,on
1623228029.046007,hue.motionSensor.motion,off
1623228094.040172,hue.motionSensor.motion,on
1623228104.024732,hue.motionSensor.motion,off
1623228169.053786,hue.motionSensor.motion,on
1623228184.039457,hue.motionSensor.motion,off
1623228334.039806,hue.motionSensor.motion,on
1623228349.063701,hue.motionSensor.motion,off
1623228379.049516,hue.motionSensor.motion,on
1623228389.050033,hue.motionSensor.motion,off
1623228414.037986,hue.motionSensor.motion,on
1623228424.039061,hue.motionSensor.motion,off
1623228534.023142,hue.motionSensor.motion,on
1623228544.038061,hue.motionSensor.motion,off
1623228654.038196,hue.motionSensor.motion,on
1623228664.040489,hue.motionSensor.motion,off
1623228779.022364,hue.motionSensor.motion,on
1623228804.038897,hue.motionSensor.motion,off
1623228814.024213,hue.motionSensor.motion,on
1623228849.023503,hue.motionSensor.motion,off
1623228864.03956,hue.motionSensor.motion,on
1623228914.038189,hue.motionSensor.motion,off
1623228919.024707,hue.motionSensor.motion,on
1623228934.037531,hue.motionSensor.motion,off
1623229409.037061,hue.motionSensor.motion,on
1623229434.038151,hue.motionSensor.motion,off
1623229489.038907,hue.motionSensor.motion,on
1623229504.038279,hue.motionSensor.motion,off
1623229519.037665,hue.motionSensor.motion,on
1623229539.039861,hue.motionSensor.motion,off
1623229589.023058,hue.motionSensor.motion,on
1623229599.038212,hue.motionSensor.motion,off
1623229714.023327,hue.motionSensor.motion,on
1623229724.038572,hue.motionSensor.motion,off
1623230954.022062,hue.motionSensor.motion,on
1623230964.039268,hue.motionSensor.motion,off
1623231019.037271,hue.motionSensor.motion,on
1623231034.038303,hue.motionSensor.motion,off
1623231384.024595,hue.motionSensor.motion,on
1623231399.037955,hue.motionSensor.motion,off
1623231509.023254,hue.motionSensor.motion,on
1623231524.038177,hue.motionSensor.motion,off
1623234244.024969,hue.motionSensor.motion,on
1623234259.037559,hue.motionSensor.motion,off
1623234279.024684,hue.motionSensor.motion,on
1623234299.038021,hue.motionSensor.motion,off
1623234319.037209,hue.motionSensor.motion,on
1623234359.040388,hue.motionSensor.motion,off
1623234369.03749,hue.motionSensor.motion,on
1623234384.038927,hue.motionSensor.motion,off
1623234604.022701,hue.motionSensor.motion,on
1623234619.038776,hue.motionSensor.motion,off
1623234664.038353,hue.motionSensor.motion,on
1623234799.025426,hue.motionSensor.motion,off
1623234814.038349,hue.motionSensor.motion,on
1623234829.025231,hue.motionSensor.motion,off
1623234859.038011,hue.motionSensor.motion,on
1623234894.038404,hue.motionSensor.motion,off
1623234919.02046,hue.motionSensor.motion,on
1623234959.038645,hue.motionSensor.motion,off
1623234969.023252,hue.motionSensor.motion,on
1623234999.024782,hue.motionSensor.motion,off
1623236104.039429,hue.motionSensor.motion,on
1623236114.039125,hue.motionSensor.motion,off
1623236119.037004,hue.motionSensor.motion,on
1623236129.037136,hue.motionSensor.motion,off
1623236409.022587,hue.motionSensor.motion,on
1623236424.038193,hue.motionSensor.motion,off
1623238194.037445,hue.motionSensor.motion,on
1623238204.021803,hue.motionSensor.motion,off
1623238209.023737,hue.motionSensor.motion,on
1623238224.023857,hue.motionSensor.motion,off
1623238254.022604,hue.motionSensor.motion,on
1623238334.037178,hue.motionSensor.motion,off
1623241269.038435,hue.motionSensor.motion,on
1623241284.038481,hue.motionSensor.motion,off
1623241319.037112,hue.motionSensor.motion,on
1623241369.039124,hue.motionSensor.motion,off
1623241384.038873,hue.motionSensor.motion,on
1623241394.022055,hue.motionSensor.motion,off
1623241459.037812,hue.motionSensor.motion,on
1623241469.038896,hue.motionSensor.motion,off
1623241534.038138,hue.motionSensor.motion,on
1623241544.037319,hue.motionSensor.motion,off
1623241549.02482,hue.motionSensor.motion,on
1623241624.038021,hue.motionSensor.motion,off
1623241659.074063,hue.motionSensor.motion,on
1623241714.024437,hue.motionSensor.motion,off
1623241759.039442,hue.motionSensor.motion,on
1623241784.044593,hue.motionSensor.motion,off
1623241799.038709,hue.motionSensor.motion,on
1623241809.038843,hue.motionSensor.motion,off
1623241839.039086,hue.motionSensor.motion,on
1623241889.024035,hue.motionSensor.motion,off
1623241914.023328,hue.motionSensor.motion,on
1623241924.039133,hue.motionSensor.motion,off
1623241999.038412,hue.motionSensor.motion,on
1623242009.037891,hue.motionSensor.motion,off
1623242094.023024,hue.motionSensor.motion,on
1623242104.03843,hue.motionSensor.motion,off
1623242129.023024,hue.motionSensor.motion,on
1623242139.022594,hue.motionSensor.motion,off
1623242144.03846,hue.motionSensor.motion,on
1623242154.037191,hue.motionSensor.motion,off
1623242169.037239,hue.motionSensor.motion,on
1623242179.037075,hue.motionSensor.motion,off
1623242204.03851,hue.motionSensor.motion,on
1623242224.039125,hue.motionSensor.motion,off
1623242244.037919,hue.motionSensor.motion,on
1623242259.03992,hue.motionSensor.motion,off
1623242289.023265,hue.motionSensor.motion,on
1623242314.02501,hue.motionSensor.motion,off
1623242319.038361,hue.motionSensor.motion,on
1623242344.037996,hue.motionSensor.motion,off
1623242429.023426,hue.motionSensor.motion,on
1623242449.037272,hue.motionSensor.motion,off
1623242454.038372,hue.motionSensor.motion,on
1623242474.039041,hue.motionSensor.motion,off
1623242484.040331,hue.motionSensor.motion,on
1623242494.023778,hue.motionSensor.motion,off
1623242499.03857,hue.motionSensor.motion,on
1623242514.037475,hue.motionSensor.motion,off
1623242519.025857,hue.motionSensor.motion,on
1623242534.024355,hue.motionSensor.motion,off
1623242604.037564,hue.motionSensor.motion,on
1623242614.038136,hue.motionSensor.motion,off
1623242799.038103,hue.motionSensor.motion,on
1623242819.088412,hue.motionSensor.motion,off
1623242834.038641,hue.motionSensor.motion,on
1623243169.024819,hue.motionSensor.motion,off
1623243229.023151,hue.motionSensor.motion,on
1623243239.021762,hue.motionSensor.motion,off
1623243404.038139,hue.motionSensor.motion,on
1623243414.037625,hue.motionSensor.motion,off
1623243449.023293,hue.motionSensor.motion,on
1623243459.038868,hue.motionSensor.motion,off
1623243479.021477,hue.motionSensor.motion,on
1623243489.037495,hue.motionSensor.motion,off
1623243764.023501,hue.motionSensor.motion,on
1623243774.037757,hue.motionSensor.motion,off
1623243869.038513,hue.motionSensor.motion,on
1623243884.038064,hue.motionSensor.motion,off
1623243969.038118,hue.motionSensor.motion,on
1623243979.038081,hue.motionSensor.motion,off
1623244139.040733,hue.motionSensor.motion,on
1623244154.038664,hue.motionSensor.motion,off
1623244159.03802,hue.motionSensor.motion,on
1623244169.03905,hue.motionSensor.motion,off
1623244184.040162,hue.motionSensor.motion,on
1623244194.021465,hue.motionSensor.motion,off
1623244199.022647,hue.motionSensor.motion,on
1623244209.037549,hue.motionSensor.motion,off
1623244214.038677,hue.motionSensor.motion,on
1623244224.024061,hue.motionSensor.motion,off
1623244279.024301,hue.motionSensor.motion,on
1623244319.038123,hue.motionSensor.motion,off
1623244324.040114,hue.motionSensor.motion,on
1623244339.038564,hue.motionSensor.motion,off
1623244354.037087,hue.motionSensor.motion,on
1623244439.022981,hue.motionSensor.motion,off
1623244454.03733,hue.motionSensor.motion,on
1623244474.038193,hue.motionSensor.motion,off
