time_stamp,entity,new_status
1626138000.0,automation.dinnerLights,on
1626138000.0,automation.lightsOnWhenMotionDetected,on
1626138000.0,automation.lightsOffWhenTooBright,on
1626138000.0,automation.lightsOffWhenNoMotion,on
1626138000.0,window,off
1626140196.108562,window,unavailable
1626140201.582482,window,off
1626140279.898206,window,unavailable
1626140293.630575,window,off
1626171511.344697,window,on
1626180770.40671,window,off
1626138000.0,controll.accessRoom1,off
1626153196.554109,controll.accessRoom1,on
1626153202.165884,controll.accessRoom1,off
1626153203.531474,controll.accessRoom1,on
1626153204.463074,controll.accessRoom1,off
1626153596.317347,controll.accessRoom1,on
1626153606.416766,controll.accessRoom1,off
1626162110.288351,controll.accessRoom1,on
1626162116.295005,controll.accessRoom1,off
1626162735.134441,controll.accessRoom1,on
1626162743.536844,controll.accessRoom1,off
1626169265.892792,controll.accessRoom1,on
1626169269.4062,controll.accessRoom1,off
1626169471.221095,controll.accessRoom1,on
1626169476.736317,controll.accessRoom1,off
1626169893.714798,controll.accessRoom1,on
1626169902.958773,controll.accessRoom1,off
1626170220.778375,controll.accessRoom1,on
1626170226.283319,controll.accessRoom1,off
1626175394.58597,controll.accessRoom1,on
1626175401.456053,controll.accessRoom1,off
1626182614.77975,controll.accessRoom1,on
1626182632.291198,controll.accessRoom1,off
1626189196.110153,controll.accessRoom1,on
1626189380.634537,controll.accessRoom1,off
1626193536.433447,controll.accessRoom1,on
1626193556.415758,controll.accessRoom1,off
1626193562.869966,controll.accessRoom1,on
1626193570.332628,controll.accessRoom1,off
1626196484.205531,controll.accessRoom1,on
1626196579.698492,controll.accessRoom1,off
1626197688.9086,controll.accessRoom1,on
1626197735.340158,controll.accessRoom1,off
1626199148.06696,controll.accessRoom1,on
1626199156.415459,controll.accessRoom1,off
1626208700.181948,controll.accessRoom1,on
1626208737.699106,controll.accessRoom1,off
1626138000.0,hue.motionSensor.motion,off
1626151561.038046,hue.motionSensor.motion,on
1626151581.038661,hue.motionSensor.motion,off
1626151606.025228,hue.motionSensor.motion,on
1626151621.036296,hue.motionSensor.motion,off
1626151841.022643,hue.motionSensor.motion,on
1626151871.023919,hue.motionSensor.motion,off
1626151886.038252,hue.motionSensor.motion,on
1626151911.024452,hue.motionSensor.motion,off
1626151916.036812,hue.motionSensor.motion,on
1626151931.037935,hue.motionSensor.motion,off
1626152101.041811,hue.motionSensor.motion,on
1626152126.039236,hue.motionSensor.motion,off
1626152986.038134,hue.motionSensor.motion,on
1626152996.02337,hue.motionSensor.motion,off
1626153036.036872,hue.motionSensor.motion,on
1626153046.023802,hue.motionSensor.motion,off
1626153096.023118,hue.motionSensor.motion,on
1626153106.03673,hue.motionSensor.motion,off
1626153111.022798,hue.motionSensor.motion,on
1626153136.037954,hue.motionSensor.motion,off
1626153226.038383,hue.motionSensor.motion,on
1626153246.037532,hue.motionSensor.motion,off
1626153286.037186,hue.motionSensor.motion,on
1626153311.037767,hue.motionSensor.motion,off
1626153361.037922,hue.motionSensor.motion,on
1626153386.023312,hue.motionSensor.motion,off
1626153391.03924,hue.motionSensor.motion,on
1626153421.022843,hue.motionSensor.motion,off
1626153431.041055,hue.motionSensor.motion,on
1626153456.021588,hue.motionSensor.motion,off
1626153461.037335,hue.motionSensor.motion,on
1626153481.022723,hue.motionSensor.motion,off
1626153486.024311,hue.motionSensor.motion,on
1626153506.036816,hue.motionSensor.motion,off
1626153531.023442,hue.motionSensor.motion,on
1626153551.021084,hue.motionSensor.motion,off
1626153576.039069,hue.motionSensor.motion,on
1626153591.024247,hue.motionSensor.motion,off
1626153616.038503,hue.motionSensor.motion,on
1626153631.038603,hue.motionSensor.motion,off
1626153656.038546,hue.motionSensor.motion,on
1626153666.038081,hue.motionSensor.motion,off
1626153671.023563,hue.motionSensor.motion,on
1626153681.037685,hue.motionSensor.motion,off
1626153786.036636,hue.motionSensor.motion,on
1626153801.037315,hue.motionSensor.motion,off
1626153861.037585,hue.motionSensor.motion,on
1626153871.037709,hue.motionSensor.motion,off
1626156881.022249,hue.motionSensor.motion,on
1626156896.021139,hue.motionSensor.motion,off
1626156901.037098,hue.motionSensor.motion,on
1626156946.039248,hue.motionSensor.motion,off
1626156951.036452,hue.motionSensor.motion,on
1626156971.036432,hue.motionSensor.motion,off
1626156986.038293,hue.motionSensor.motion,on
1626157001.038898,hue.motionSensor.motion,off
1626157011.037182,hue.motionSensor.motion,on
1626157021.023865,hue.motionSensor.motion,off
1626157026.038482,hue.motionSensor.motion,on
1626157036.037419,hue.motionSensor.motion,off
1626157131.022861,hue.motionSensor.motion,on
1626157146.023771,hue.motionSensor.motion,off
1626157301.040682,hue.motionSensor.motion,on
1626157311.036131,hue.motionSensor.motion,off
1626158451.022302,hue.motionSensor.motion,on
1626158461.023801,hue.motionSensor.motion,off
1626158946.021668,hue.motionSensor.motion,on
1626158956.023025,hue.motionSensor.motion,off
1626159361.041248,hue.motionSensor.motion,on
1626159371.022906,hue.motionSensor.motion,off
1626159446.02318,hue.motionSensor.motion,on
1626159456.022753,hue.motionSensor.motion,off
1626159551.020972,hue.motionSensor.motion,on
1626159561.036782,hue.motionSensor.motion,off
1626159786.026429,hue.motionSensor.motion,on
1626159796.0402,hue.motionSensor.motion,off
1626159866.022329,hue.motionSensor.motion,on
1626159876.021416,hue.motionSensor.motion,off
1626159966.039245,hue.motionSensor.motion,on
1626159976.037748,hue.motionSensor.motion,off
1626160091.03762,hue.motionSensor.motion,on
1626160101.022256,hue.motionSensor.motion,off
1626160221.021909,hue.motionSensor.motion,on
1626160231.03793,hue.motionSensor.motion,off
1626160356.036312,hue.motionSensor.motion,on
1626160371.036132,hue.motionSensor.motion,off
1626160446.038128,hue.motionSensor.motion,on
1626160456.039605,hue.motionSensor.motion,off
1626160486.024017,hue.motionSensor.motion,on
1626160496.038139,hue.motionSensor.motion,off
1626160506.024528,hue.motionSensor.motion,on
1626160516.038107,hue.motionSensor.motion,off
1626160601.036562,hue.motionSensor.motion,on
1626160611.036583,hue.motionSensor.motion,off
1626160781.036499,hue.motionSensor.motion,on
1626160791.021436,hue.motionSensor.motion,off
1626160886.02472,hue.motionSensor.motion,on
1626160896.024881,hue.motionSensor.motion,off
1626160951.039029,hue.motionSensor.motion,on
1626160961.037025,hue.motionSensor.motion,off
1626161206.037401,hue.motionSensor.motion,on
1626161216.038428,hue.motionSensor.motion,off
1626161256.037752,hue.motionSensor.motion,on
1626161266.03746,hue.motionSensor.motion,off
1626161421.037541,hue.motionSensor.motion,on
1626161431.038193,hue.motionSensor.motion,off
1626161436.037634,hue.motionSensor.motion,on
1626161446.023115,hue.motionSensor.motion,off
1626161531.023714,hue.motionSensor.motion,on
1626161541.023127,hue.motionSensor.motion,off
1626161931.037273,hue.motionSensor.motion,on
1626161951.021647,hue.motionSensor.motion,off
1626162116.041458,hue.motionSensor.motion,on
1626162131.036563,hue.motionSensor.motion,off
1626162251.036857,hue.motionSensor.motion,on
1626162261.022525,hue.motionSensor.motion,off
1626162896.02031,hue.motionSensor.motion,on
1626162931.03773,hue.motionSensor.motion,off
1626162941.023403,hue.motionSensor.motion,on
1626162961.022725,hue.motionSensor.motion,off
1626162971.037822,hue.motionSensor.motion,on
1626162991.037227,hue.motionSensor.motion,off
1626163016.038279,hue.motionSensor.motion,on
1626163041.036904,hue.motionSensor.motion,off
1626163051.022849,hue.motionSensor.motion,on
1626163081.037747,hue.motionSensor.motion,off
1626163091.039442,hue.motionSensor.motion,on
1626163111.038741,hue.motionSensor.motion,off
1626163116.038136,hue.motionSensor.motion,on
1626163136.040595,hue.motionSensor.motion,off
1626163141.037174,hue.motionSensor.motion,on
1626163171.037198,hue.motionSensor.motion,off
1626163191.022575,hue.motionSensor.motion,on
1626163206.038637,hue.motionSensor.motion,off
1626163241.022402,hue.motionSensor.motion,on
1626163271.021635,hue.motionSensor.motion,off
1626163286.037033,hue.motionSensor.motion,on
1626163296.037807,hue.motionSensor.motion,off
1626163456.039795,hue.motionSensor.motion,on
1626163471.036553,hue.motionSensor.motion,off
1626163491.059447,hue.motionSensor.motion,on
1626163586.023442,hue.motionSensor.motion,off
1626163596.037722,hue.motionSensor.motion,on
1626163606.038558,hue.motionSensor.motion,off
1626163611.037398,hue.motionSensor.motion,on
1626163631.024065,hue.motionSensor.motion,off
1626163641.037465,hue.motionSensor.motion,on
1626163656.021024,hue.motionSensor.motion,off
1626163681.037015,hue.motionSensor.motion,on
1626163691.037351,hue.motionSensor.motion,off
1626163726.023519,hue.motionSensor.motion,on
1626163736.03864,hue.motionSensor.motion,off
1626163746.021697,hue.motionSensor.motion,on
1626163801.03702,hue.motionSensor.motion,off
1626163991.03802,hue.motionSensor.motion,on
1626164001.037764,hue.motionSensor.motion,off
1626164106.038191,hue.motionSensor.motion,on
1626164121.037838,hue.motionSensor.motion,off
1626164141.037338,hue.motionSensor.motion,on
1626164171.02272,hue.motionSensor.motion,off
1626164206.037678,hue.motionSensor.motion,on
1626164221.038011,hue.motionSensor.motion,off
1626164251.02294,hue.motionSensor.motion,on
1626164266.039549,hue.motionSensor.motion,off
1626164271.036587,hue.motionSensor.motion,on
1626164301.040292,hue.motionSensor.motion,off
1626164306.037403,hue.motionSensor.motion,on
1626164316.036949,hue.motionSensor.motion,off
1626164591.023265,hue.motionSensor.motion,on
1626164601.021094,hue.motionSensor.motion,off
1626164646.022711,hue.motionSensor.motion,on
1626164656.02145,hue.motionSensor.motion,off
1626165116.040744,hue.motionSensor.motion,on
1626165126.041583,hue.motionSensor.motion,off
1626165181.03853,hue.motionSensor.motion,on
1626165191.036482,hue.motionSensor.motion,off
1626165231.035805,hue.motionSensor.motion,on
1626165256.038807,hue.motionSensor.motion,off
1626165536.037079,hue.motionSensor.motion,on
1626165551.022173,hue.motionSensor.motion,off
1626165576.038108,hue.motionSensor.motion,on
1626165591.037133,hue.motionSensor.motion,off
1626165756.024533,hue.motionSensor.motion,on
1626165766.037161,hue.motionSensor.motion,off
1626165781.037991,hue.motionSensor.motion,on
1626165796.022548,hue.motionSensor.motion,off
1626165811.039171,hue.motionSensor.motion,on
1626165821.023485,hue.motionSensor.motion,off
1626165856.037043,hue.motionSensor.motion,on
1626165886.02237,hue.motionSensor.motion,off
1626165901.022511,hue.motionSensor.motion,on
1626165926.037112,hue.motionSensor.motion,off
1626166001.037686,hue.motionSensor.motion,on
1626166016.037575,hue.motionSensor.motion,off
1626166026.03635,hue.motionSensor.motion,on
1626166046.036297,hue.motionSensor.motion,off
1626166166.036923,hue.motionSensor.motion,on
1626166176.037618,hue.motionSensor.motion,off
1626166201.035652,hue.motionSensor.motion,on
1626166211.038066,hue.motionSensor.motion,off
1626166221.037647,hue.motionSensor.motion,on
1626166231.036197,hue.motionSensor.motion,off
1626166246.039096,hue.motionSensor.motion,on
1626166276.038833,hue.motionSensor.motion,off
1626166296.038493,hue.motionSensor.motion,on
1626166311.037385,hue.motionSensor.motion,off
1626166331.037896,hue.motionSensor.motion,on
1626166371.037093,hue.motionSensor.motion,off
1626166581.023062,hue.motionSensor.motion,on
1626166591.036886,hue.motionSensor.motion,off
