time_stamp,entity,new_status
1622941200.0,automation.dinnerLights,on
1622941200.0,automation.lightsOnWhenMotionDetected,on
1622941200.0,automation.cameraOffWhenAtHome,on
1622941200.0,automation.lightsOffWhenTooBright,on
1622941200.0,automation.lightsOffWhenNoMotion,on
1622941200.0,automation.cameraOnWhenUserLeave,on
1622941200.0,window,off
1622942999.072705,window,unavailable
1622943002.831712,window,off
1622943062.71907,window,unavailable
1622943078.87089,window,off
1622941200.0,controll.accessRoom1,off
1622966069.130291,controll.accessRoom1,on
1622966080.307838,controll.accessRoom1,off
1622970453.444633,controll.accessRoom1,on
1622970494.010488,controll.accessRoom1,off
1622970602.824856,controll.accessRoom1,on
1622971164.037249,controll.accessRoom1,off
1622971560.197904,controll.accessRoom1,on
1622971572.183135,controll.accessRoom1,off
1622971670.82948,controll.accessRoom1,on
1622971675.408182,controll.accessRoom1,off
1622971684.013198,controll.accessRoom1,on
1622971698.388017,controll.accessRoom1,off
1622971760.75593,controll.accessRoom1,on
1622971785.474528,controll.accessRoom1,off
1622971791.318626,controll.accessRoom1,on
1622971824.1419,controll.accessRoom1,off
1622971825.765338,controll.accessRoom1,on
1622972115.453225,controll.accessRoom1,off
1622972116.050835,controll.accessRoom1,on
1622972116.580983,controll.accessRoom1,off
1622972153.988087,controll.accessRoom1,on
1622972168.426134,controll.accessRoom1,off
1622981950.120874,controll.accessRoom1,on
1622982814.997641,controll.accessRoom1,off
1623010122.616168,controll.accessRoom1,on
1623010127.05745,controll.accessRoom1,off
1622941200.0,hue.motionSensor.motion,off
1622965359.039247,hue.motionSensor.motion,on
1622965369.039942,hue.motionSensor.motion,off
1622965384.037259,hue.motionSensor.motion,on
1622965394.036784,hue.motionSensor.motion,off
1622965409.038272,hue.motionSensor.motion,on
1622965424.022184,hue.motionSensor.motion,off
1622965469.024929,hue.motionSensor.motion,on
1622965509.038227,hue.motionSensor.motion,off
1622965529.03744,hue.motionSensor.motion,on
1622965539.023206,hue.motionSensor.motion,off
1622965934.02272,hue.motionSensor.motion,on
1622965959.023741,hue.motionSensor.motion,off
1622965989.038416,hue.motionSensor.motion,on
1622966004.038473,hue.motionSensor.motion,off
1622966034.038387,hue.motionSensor.motion,on
1622966044.022673,hue.motionSensor.motion,off
1622966094.038677,hue.motionSensor.motion,on
1622966099.038391,hue.motionSensor.motion,off
1622966204.039432,hue.motionSensor.motion,on
1622966214.039918,hue.motionSensor.motion,off
1622966389.037899,hue.motionSensor.motion,on
1622966414.038977,hue.motionSensor.motion,off
1622966469.022279,hue.motionSensor.motion,on
1622966499.038509,hue.motionSensor.motion,off
1622966524.021003,hue.motionSensor.motion,on
1622966579.038733,hue.motionSensor.motion,off
1622966589.037711,hue.motionSensor.motion,on
1622966609.036766,hue.motionSensor.motion,off
1622966639.022653,hue.motionSensor.motion,on
1622966654.037957,hue.motionSensor.motion,off
1622966694.039729,hue.motionSensor.motion,on
1622966754.023261,hue.motionSensor.motion,off
1622966779.024928,hue.motionSensor.motion,on
1622966789.03761,hue.motionSensor.motion,off
1622966799.038061,hue.motionSensor.motion,on
1622966809.038598,hue.motionSensor.motion,off
1622966814.038853,hue.motionSensor.motion,on
1622966839.036434,hue.motionSensor.motion,off
1622966854.038282,hue.motionSensor.motion,on
1622966899.038404,hue.motionSensor.motion,off
1622966904.023679,hue.motionSensor.motion,on
1622966914.024303,hue.motionSensor.motion,off
1622966919.038597,hue.motionSensor.motion,on
1622966939.038075,hue.motionSensor.motion,off
1622966959.038515,hue.motionSensor.motion,on
1622966969.037822,hue.motionSensor.motion,off
1622967024.023318,hue.motionSensor.motion,on
1622967039.038722,hue.motionSensor.motion,off
1622967059.038626,hue.motionSensor.motion,on
1622967084.03859,hue.motionSensor.motion,off
1622967279.023681,hue.motionSensor.motion,on
1622967329.038972,hue.motionSensor.motion,off
1622967339.041542,hue.motionSensor.motion,on
1622967374.040443,hue.motionSensor.motion,off
1622967559.037811,hue.motionSensor.motion,on
1622967569.038555,hue.motionSensor.motion,off
1622967644.039798,hue.motionSensor.motion,on
1622967654.037763,hue.motionSensor.motion,off
1622967804.037188,hue.motionSensor.motion,on
1622967834.022128,hue.motionSensor.motion,off
1622968634.038381,hue.motionSensor.motion,on
1622968644.039696,hue.motionSensor.motion,off
1622968699.03872,hue.motionSensor.motion,on
1622968739.037995,hue.motionSensor.motion,off
1622968884.037943,hue.motionSensor.motion,on
1622968929.036106,hue.motionSensor.motion,off
1622968954.021224,hue.motionSensor.motion,on
1622968969.037601,hue.motionSensor.motion,off
1622968974.03805,hue.motionSensor.motion,on
1622968994.025574,hue.motionSensor.motion,off
1622968999.038644,hue.motionSensor.motion,on
1622969009.025382,hue.motionSensor.motion,off
1622969144.038925,hue.motionSensor.motion,on
1622969179.023804,hue.motionSensor.motion,off
1622969469.023497,hue.motionSensor.motion,on
1622969479.036267,hue.motionSensor.motion,off
1622969789.026716,hue.motionSensor.motion,on
1622969804.023296,hue.motionSensor.motion,off
1622969809.039266,hue.motionSensor.motion,on
1622969844.022791,hue.motionSensor.motion,off
1622969854.038757,hue.motionSensor.motion,on
1622969864.038355,hue.motionSensor.motion,off
1622969874.039889,hue.motionSensor.motion,on
1622969899.040329,hue.motionSensor.motion,off
1622970014.041276,hue.motionSensor.motion,on
1622970024.040587,hue.motionSensor.motion,off
1622970054.02415,hue.motionSensor.motion,on
1622970084.041167,hue.motionSensor.motion,off
1622970089.040871,hue.motionSensor.motion,on
1622970099.021735,hue.motionSensor.motion,off
1622970109.022657,hue.motionSensor.motion,on
1622970124.039275,hue.motionSensor.motion,off
1622970129.040128,hue.motionSensor.motion,on
1622970149.040385,hue.motionSensor.motion,off
1622970269.021877,hue.motionSensor.motion,on
1622970299.03975,hue.motionSensor.motion,off
1622970319.039978,hue.motionSensor.motion,on
1622970369.04018,hue.motionSensor.motion,off
1622970379.023579,hue.motionSensor.motion,on
1622970429.023457,hue.motionSensor.motion,off
1622970434.039287,hue.motionSensor.motion,on
1622970484.039929,hue.motionSensor.motion,off
1622970544.040497,hue.motionSensor.motion,on
1622970554.039257,hue.motionSensor.motion,off
1622970574.024201,hue.motionSensor.motion,on
1622970584.040212,hue.motionSensor.motion,off
1622970614.039035,hue.motionSensor.motion,on
1622970684.023813,hue.motionSensor.motion,off
1622970689.039885,hue.motionSensor.motion,on
1622970699.025519,hue.motionSensor.motion,off
1622970704.022051,hue.motionSensor.motion,on
1622970714.040955,hue.motionSensor.motion,off
